Sample_ID,Method_R1,Coef_np_R1,Coef_OLS_R1,Standard_Error_R1,Data_Points_Used_R1,Diff_R1,Data_Points_R1,smaller_than_R1,Method_R2,Coef_np_R2,Coef_OLS_R2,Standard_Error_R2,Data_Points_Used_R2,Diff_R2,smaller_than_R2,larger_than_R2
2-1,3,7.061720479986146,7.061720479986147,0.5206356550251384,17,0,17.0,0.0,3,7.47599360492496,7.475993604924961,0.5213837802087926,17,0,0.0,0.0
2-2,3,4.874892224373454,4.874892224373454,0.40616067479812007,17,0,20.0,0.0,3,4.451822779753907,4.451822779753907,0.2754233758054391,20,0,0.0,0.0
3-1,1,7.102533186853061,7.102533186853062,0.4835701639057296,5,0,5.0,0.0,1,7.088883091073414,7.088883091073413,0.47446655265124366,5,0,0.0,0.0
3-2,1,6.74276460415213,6.742764604152129,0.34922706986564006,4,0,4.0,0.0,1,6.649520052695009,6.649520052695008,0.3884728711326832,4,0,0.0,0.0
3-3,2,187.89094358831414,187.89094358831414,0.0,2,0,2.0,0.0,2,185.9569908831296,185.9569908831296,0.0,2,0,0.0,1.0
3-4,1,0.08899495573265986,0.08899495573265985,0.0071055417635344665,13,0,13.0,0.0,1,0.08925594251386791,0.08925594251386791,0.0067465967711339584,14,0,0.0,0.0
4-1,2,9.141262819186363,9.141262819186363,0.0,2,0,3.0,0.0,2,9.141262819186363,9.141262819186363,0.0,2,0,0.0,0.0
5-1,1,1.2094547278817227,1.2094547278817227,0.0393551918268963,3,0,4.0,0.0,1,1.2094547278817227,1.2094547278817227,0.0393551918268963,3,0,0.0,0.0
5-2,1,0.5052893235281751,0.5052893235281751,0.04590626809565576,6,0,6.0,0.0,1,0.5052893235281751,0.5052893235281751,0.04590626809565576,6,0,0.0,0.0
5-3,1,0.13488228082420195,0.13488228082420192,0.01553132202760399,4,0,7.0,0.0,1,0.13488228082420195,0.13488228082420192,0.01553132202760399,4,0,0.0,0.0
5-4,3,0.7917871544373638,0.7917871544373638,0.02841087077617442,4,0,4.0,0.0,3,0.7917871544373638,0.7917871544373638,0.02841087077617442,4,0,0.0,0.0
5-5,3,0.37470568539651894,0.3747056853965189,0.010962725650027016,4,0,4.0,0.0,3,0.37470568539651894,0.3747056853965189,0.010962725650027016,4,0,0.0,0.0
6-1,1,1.4719500686612523,1.4719500686612523,0.0,2,0,5.0,0.0,1,1.4719500686612523,1.4719500686612523,0.0,2,0,0.0,0.0
7-1,3,11.961481002566472,11.961481002566472,0.0,2,0,2.0,0.0,3,11.961481002566472,11.961481002566472,0.0,2,0,0.0,0.0
7-2,3,12.756704116310505,12.756704116310505,0.0,2,0,2.0,0.0,3,12.756704116310505,12.756704116310505,0.0,2,0,0.0,0.0
7-3,3,24.89281181615185,24.89281181615185,0.0,2,0,2.0,0.0,3,24.89281181615185,24.89281181615185,0.0,2,0,0.0,0.0
7-4,3,28.080306012122513,28.080306012122513,5.415722071342227e-15,2,0,2.0,0.0,3,28.080306012122513,28.080306012122513,5.415722071342227e-15,2,0,0.0,0.0
7-5,3,29.52032170505187,29.52032170505187,0.0,2,0,2.0,0.0,3,29.52032170505187,29.52032170505187,0.0,2,0,0.0,0.0
7-6,3,10.372004923396604,10.372004923396604,2.0004018461714533e-15,2,0,2.0,0.0,3,10.372004923396604,10.372004923396604,2.0004018461714533e-15,2,0,0.0,0.0
7-7,3,209.3259175449133,209.3259175449133,0.0,2,0,2.0,0.0,3,209.3259175449133,209.3259175449133,0.0,2,0,0.0,0.0
7-8,3,71.95578415606393,71.95578415606393,0.0,2,0,2.0,0.0,3,71.95578415606393,71.95578415606393,0.0,2,0,0.0,0.0
7-9,3,21.72250087730232,21.72250087730232,0.0,2,0,2.0,0.0,3,21.72250087730232,21.72250087730232,0.0,2,0,0.0,0.0
7-10,3,184.2068074395237,184.2068074395237,3.552713678800501e-14,2,0,2.0,0.0,3,184.2068074395237,184.2068074395237,3.552713678800501e-14,2,0,0.0,0.0
7-11,3,75.49459321291953,75.49459321291951,2.912060392459426e-14,2,0,2.0,0.0,3,75.49459321291953,75.49459321291951,2.912060392459426e-14,2,0,0.0,0.0
7-12,3,69.77530584830441,69.77530584830441,0.0,2,0,2.0,0.0,3,69.77530584830441,69.77530584830441,0.0,2,0,0.0,0.0
8-1,2,275.4764148810272,275.4764148810272,21.075623179037738,14,0,36.0,0.0,2,279.51834710093965,279.51834710093965,18.368171243786875,14,0,0.0,0.0
9-1,3,7.172582266172079,7.17258226617208,1.2799539926598429,4,0,9.0,0.0,3,7.161418784259351,7.16141878425935,1.2467611968632146,4,0,0.0,0.0
10-1,0,1.4,1.4,0.0,0,0,,0.0,0,1.4,1.4,0.0,0,0,0.0,0.0
10-2,0,6.6,6.6,0.0,0,0,,0.0,0,6.6,6.6,0.0,0,0,0.0,0.0
10-3,0,5.7,5.7,0.0,0,0,,0.0,0,5.7,5.7,0.0,0,0,0.0,0.0
10-4,0,4.1,4.1,0.0,0,0,,0.0,0,4.1,4.1,0.0,0,0,0.0,0.0
10-5,0,3.4,3.4,0.0,0,0,,0.0,0,3.4,3.4,0.0,0,0,0.0,0.0
